OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
RADUGA 14,1984-016A,2025-03-10T17:18:38.609280,1.00245515,.0002201,9.4702,313.8968,151.3898,40.3111,0,U,14725,999,11345,0,-.129E-5,0
COSMOS 1540,1984-022A,2025-03-10T16:38:38.601312,1.00260848,.000669,10.2996,308.5482,278.0381,269.2360,0,U,14783,999,11637,0,-.134E-5,0
COSMOS 1546,1984-031A,2025-03-10T16:51:38.567808,1.00286660,.0023855,9.5701,314.5423,5.8356,175.4882,0,U,14867,999,4272,0,-.109E-5,0
STTW-T2,1984-035A,2025-03-10T20:04:33.237120,1.00362254,.0007449,10.2524,320.8626,180.3710,11.0546,0,U,14899,999,4272,0,.109E-5,0
GORIZONT 9,1984-041A,2025-03-10T18:27:02.115072,1.00233412,.0004915,9.6263,315.3798,270.2736,280.9150,0,U,14940,999,11729,0,.19E-6,0
ZHONGXING-5,1984-049A,2025-03-09T04:11:48.626304,0.99990265,.0008288,14.5475,351.8348,236.7327,309.0394,0,U,14985,999,12665,0,-.31E-5,0
RADUGA 15,1984-063A,2025-03-10T16:30:38.932704,1.00370244,.0003163,9.6216,314.9018,201.2511,354.5423,0,U,15057,999,13645,0,-.305E-5,0
GORIZONT 10,1984-078A,2025-03-10T11:07:07.754880,1.00239081,.000219,9.7526,316.4078,326.4137,13.4392,0,U,15144,999,14992,0,-.282E-5,0
HIMAWARI-3 (GMS-3),1984-080A,2025-03-10T09:52:38.670816,0.99829269,.0005978,11.3283,326.6919,126.8307,87.2390,0,U,15152,999,14801,0,.85E-6,0
SL-12 R/B(2),1984-078F,2025-03-10T20:02:40.640640,1.00238696,.0022289,9.8286,316.7891,199.9273,348.4400,0,U,15181,999,11836,0,.126E-5,0
TELSTAR 302,1984-093D,2025-03-07T19:13:18.318144,0.99772002,.0002222,14.3854,348.8388,173.2645,19.5229,0,U,15237,999,4178,0,-.129E-5,0
GALAXY 3 (G-3),1984-101A,2025-03-10T20:05:33.288576,0.99834490,.0005716,14.3565,348.5633,19.3754,147.3289,0,U,15308,999,14763,0,.103E-5,0
ZHONGXING-5R,1984-114A,2025-03-03T01:14:38.571648,0.99765180,.0007212,14.7649,355.5918,69.6471,111.0336,0,U,15385,999,12227,0,-.142E-5,0
GORIZONT 11,1985-007A,2025-03-09T23:17:33.976896,1.00250248,.000216,9.9922,318.5521,252.5508,303.9344,0,U,15484,999,14797,0,-.5E-6,0
ARABSAT-1A,1985-015A,2025-03-10T13:39:18.792864,1.00293495,.0029509,12.3957,334.4467,227.3796,317.5099,0,U,15560,999,12136,0,-.256E-5,0
COSMOS 1629,1985-016A,2025-03-09T05:25:08.319936,1.00162863,.0006099,9.9772,317.5719,246.4108,313.1262,0,U,15574,999,14579,0,-.179E-5,0
GSTAR 1,1985-035A,2025-03-10T07:59:38.644224,1.00272793,.0003001,14.4964,352.2387,117.5180,72.9353,0,U,15677,999,12055,0,-.121E-5,0
TELECOM 1B,1985-035B,2025-03-10T10:27:31.073184,1.00289610,.0002664,10.8821,323.9830,340.7089,202.8222,0,U,15678,999,13236,0,.4E-6,0
ARABSAT-1B,1985-048C,2025-03-10T08:15:38.556000,1.00429309,.0016055,12.8731,337.3993,11.2070,171.7867,0,U,15825,999,13077,0,.21E-6,0
TELSTAR 303,1985-048D,2025-03-10T02:37:38.715168,0.99884539,.0002776,14.4308,349.7542,249.9508,309.5436,0,U,15826,999,4186,0,-.227E-5,0
INTELSAT 511,1985-055A,2025-03-10T18:28:09.672960,1.00073378,.0012367,13.5943,342.1113,80.1892,87.4885,0,U,15873,999,11987,0,.16E-6,0
RADUGA 16,1985-070A,2025-03-09T06:15:56.820384,1.00182128,.0001468,10.2277,319.8337,281.9629,308.3938,0,U,15946,999,11756,0,-.276E-5,0
OPTUS A1 (AUSSAT 1),1985-076B,2025-03-10T06:46:39.360864,0.99757193,.0002959,13.6894,342.1932,353.4794,203.5874,0,U,15993,999,11496,0,-.136E-5,0
ASC 1,1985-076C,2025-03-10T08:43:35.742432,1.00230813,.0002359,14.0965,346.8006,66.0708,135.8436,0,U,15994,999,11332,0,-.82E-6,0
COSMOS 1700,1985-102A,2025-03-10T16:38:38.601312,1.00227934,.0004328,10.4897,321.8295,223.0191,312.1573,0,U,16199,999,14702,0,-.139E-5,0
SL-12 R/B(2),1985-102D,2025-03-10T16:38:38.601312,1.00636314,.0020462,10.2376,321.0050,147.2799,38.7204,0,U,16214,999,12018,0,-.305E-5,0
RADUGA 17,1985-107A,2025-03-10T06:47:20.969376,1.00128965,.0012642,10.3949,321.3441,223.0042,351.8391,0,U,16250,999,14702,0,-.163E-5,0
OPTUS A2 (AUSSAT 2),1985-109C,2025-03-08T07:24:09.254880,0.99936569,.0004282,13.7318,343.5023,309.7999,260.4966,0,U,16275,999,13342,0,-.201E-5,0
STTW-1,1986-010A,2025-03-10T18:25:24.530592,1.00315589,.0002362,11.3085,326.6247,283.2632,249.9935,0,U,16526,999,15081,0,.5E-6,0
GSTAR 2,1986-026A,2025-03-08T10:54:51.088608,0.99789550,.0002737,14.4415,349.3404,41.2884,195.3240,0,U,16649,999,11199,0,-.61E-6,0
BRASILSAT 2,1986-026B,2025-03-10T16:27:38.660832,0.99644802,.0003184,14.6681,353.8878,326.8693,230.3107,0,U,16650,999,4176,0,-.36E-5,0
COSMOS 1738,1986-027A,2025-03-10T18:30:38.647296,1.00150730,.0013236,11.0525,321.1222,133.4771,62.7917,0,U,16667,999,14270,0,-.5E-6,0
GORIZONT 12,1986-044A,2025-03-10T19:11:38.620320,1.00223694,.0003601,10.7888,324.1215,305.4283,235.7643,0,U,16769,999,14261,0,.95E-6,0
SL-12 R/B(2),1986-090D,2025-03-10T08:57:28.394784,1.00304154,.0009424,11.0558,325.7568,170.6114,189.3978,0,U,17125,999,14021,0,.108E-5,0
GOES 7,1987-022A,2025-03-09T23:53:38.770368,0.99908530,.0002989,13.3499,340.9168,35.5978,139.3282,0,U,17561,999,12232,0,-.175E-5,0
AGILA 1 (PALAPA B2P),1987-029A,2025-03-09T10:42:38.573856,0.99905680,.0002329,14.5585,351.6889,40.8225,166.1189,0,U,17706,999,3788,0,.54E-6,0
SL-12 R/B(2),1976-092F,2025-03-10T15:03:51.615936,1.00321063,.0016384,4.6602,277.0066,182.5045,4.4497,0,U,17872,999,11427,0,-.66E-6,0
SL-12 R/B(2),1979-035E,2025-03-10T19:00:18.834624,1.00196075,.0026481,6.3855,287.1677,238.0891,105.5305,0,U,17873,999,18052,0,-.6E-7,0
SL-12 R/B(2),1984-016F,2025-03-10T16:30:38.932704,1.00236157,.0035195,9.4721,313.9701,216.3133,339.4657,0,U,17874,999,11820,0,-.274E-5,0
COSMOS 1888,1987-084A,2025-03-10T14:20:34.306656,1.00316345,.0001742,11.4533,329.1082,243.0028,306.1683,0,U,18384,999,13703,0,-.33E-5,0
SL-12 R/B(2),1987-084D,2025-03-10T13:39:09.739872,1.00054232,.0028832,11.5956,329.6894,237.8550,299.3135,0,U,18387,999,14418,0,-.36E-5,0
COSMOS 1894,1987-091A,2025-03-10T03:45:14.719968,1.00339955,.0003968,11.4191,328.5879,13.3848,192.8109,0,U,18443,999,11616,0,-.303E-5,0
